Date,ChangePerc110,ChangePerc10100,ChangePerc1001k,ChangePerc1k10k,ChangePerc10k100k,ChangePercPlus100k
2022-06-20,0.022,-0.087,0.773,0.481,-0.883,0.247
2022-06-21,0.026,0.060,0.659,0.515,-0.624,-0.163
2022-06-22,0.064,0.193,0.498,0.342,-2.489,2.349
2022-06-23,0.011,0.042,0.160,0.157,0.396,-0.873
2022-06-24,0.028,0.087,0.107,-0.040,-0.020,-0.105
2022-06-25,0.074,0.071,0.454,0.067,-0.089,-0.415
2022-06-26,0.072,0.133,0.073,-0.985,-2.718,4.248
2022-06-27,0.030,-0.039,0.064,0.093,0.025,-0.132
2022-06-28,0.133,-1.524,2.714,-0.640,2.658,-3.841
2022-06-29,-0.054,-0.055,-0.171,-0.334,-0.994,-0.006
2022-06-30,0.068,0.363,-0.602,-2.173,1.127,2.534
2022-07-01,0.038,0.218,-0.495,1.401,0.0005,-1.120
2022-07-02,0.126,0.173,0.126,0.382,-0.549,0.100
2022-07-03,0.062,0.073,0.085,0.056,-0.226,0.105
2022-07-04,0.055,0.045,-0.357,1.091,-0.075,-0.694
2022-07-05,0.047,0.021,0.366,-0.030,0.033,-0.351
2022-07-06,-0.018,0.190,-0.100,-0.019,-0.174,0.162
2022-07-07,0.021,0.152,-0.078,0.060,0.178,-0.382
2022-07-08,0.048,0.161,-0.033,1.516,-0.932,-0.366
2022-07-09,-0.012,0.089,0.447,0.021,-0.106,-0.345
2022-07-10,-0.004,0.045,-0.228,0.153,0.525,-0.704
2022-07-11,-0.016,0.055,0.152,0.516,0.509,-1.414
2022-07-12,0.116,-0.149,-0.136,-0.253,0.480,-0.126
2022-07-13,-0.043,-0.262,-0.138,-0.620,1.432,-0.985